feature,importance
merchant_risk_score,0.22013039353676842
amount_to_avg_ratio,0.17965889415091152
beneficiary_age_days,0.1661602305557878
daily_limit_utilization,0.1337280587243774
tx_count_2min,0.07557645793346414
amount,0.07329905059187654
failed_login_count_1h,0.06648091661353413
is_new_device,0.02378026494924561
total_after_txn,0.02368858388478891
is_new_location,0.013807919471200102
daily_total_before_txn,0.012493377302490264
avg_amount_30d,0.0050311847362025115
account_age_days,0.0024866356583272743
hour_of_day,0.002295959728352839
daily_limit,0.001382072162672416
